GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,9.37,9.37,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,,,,6485.0,6485,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,10409.0,10 409,,
HWF_0003,Generalist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/generalist-medical-practitioners-%28number%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,,,,609.0,609,,
HWF_0013,Dental Prosthetic Technicians (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-prosthetic-technicians-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,47.0,47,,
HWF_0003,Generalist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/generalist-medical-practitioners-%28number%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,1107.0,1107,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,63.0,63,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,1471.0,1471,,
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-and-hygiene-professionals-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,98.0,98,,
HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,174.0,174,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,1070.0,1070,,
HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,,,,495.0,495,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2011,2011,2011,AFR,Africa,RWA,Rwanda,,,,6773.0,6773,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,182.0,182,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,157.0,157,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,1518.0,1518,,
HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,324.0,324,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,302.0,302,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,2517.0,2517,,
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-and-hygiene-professionals-%28number%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,492.0,492,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,11083.0,11 083,,
HWF_0020,Medical and Pathology Laboratory Technicians  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-technicians-%28number%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,1990.0,1990,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,1492.0,1492,,
HWF_0020,Medical and Pathology Laboratory Technicians  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-technicians-%28number%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,1827.0,1827,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,28.0,28,,
HWF_0020,Medical and Pathology Laboratory Technicians  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-technicians-%28number%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,1545.0,1545,,
HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,534.0,534,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,11281.0,11 281,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,286.0,286,,
HWF_0020,Medical and Pathology Laboratory Technicians  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-technicians-%28number%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,1879.0,1879,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,130.0,130,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,1614.0,1614,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,1223.0,1223,,
HWF_0022,Physiotherapy Technicians and Assistants  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapy-technicians-and-assistants-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,88.0,88,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,11.06,11.06,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,1492.0,1492,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,879.0,879,,
HWF_0003,Generalist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/generalist-medical-practitioners-%28number%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,1114.0,1114,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,1.2,1.2,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,1604.0,1604,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,,,,72.0,72,,
HWF_0020,Medical and Pathology Laboratory Technicians  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-technicians-%28number%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,,,,836.0,836,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,,,,154.0,154,,
HWF_0021,Physiotherapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/physiotherapists-%28number%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,174.0,174,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2024,2024,2024,AFR,Africa,RWA,Rwanda,,,,15992.0,15 992,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,1.04,1.04,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,6553.0,6553,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,91.0,91,,
